(x) (t) (teta) (y)
50 75.5994 -85.9977 69.108
50 75.6994 -86.1209 69.2785
50 75.7994 -86.2441 69.4652
50 75.8994 -86.3674 69.6676
50 75.9994 -86.4906 69.8847
50 76.0994 -86.6139 70.1155
50 76.1994 -86.7371 70.3586
50 76.2994 -86.8604 70.6122
50 76.3994 -86.9836 70.873
50 76.4994 -87.1069 71.1366
50 76.5994 -87.2301 71.3962
50 76.6994 -87.3534 71.6431
50 76.7994 -87.4766 71.867
50 76.8994 -87.5999 72.0564
50 76.9994 -87.7231 72.2004
50 77.0994 -87.8464 72.2898
50 77.1994 -87.9696 72.3186
50 77.2994 -88.0929 72.2848
50 77.3994 -88.2161 72.1906
50 77.4994 -88.3394 72.0425
50 77.5994 -88.4626 71.8499
50 77.6994 -88.5859 71.6237
50 77.7994 -88.7091 71.3754
50 77.8994 -88.8323 71.1151
50 77.9994 -88.9556 70.8516
50 78.0994 -89.0788 70.5912
50 78.1994 -89.2021 70.3384
50 78.2994 -89.3253 70.0962
50 78.3994 -89.4486 69.8665
50 78.4994 -89.5718 69.6505
50 78.5994 -89.6951 69.4494
50 78.6994 -89.8183 69.264
50 78.7994 -89.9416 69.0949
50 78.8994 -90.0648 68.9423
50 78.9994 -90.1881 68.8064
50 79.0994 -90.3113 68.6871
50 79.1994 -90.4346 68.584
50 79.2994 -90.5578 68.4973
50 79.3994 -90.6811 68.427
50 79.4994 -90.8043 68.3738
50 79.5994 -90.9276 68.3381
50 79.6994 -91.0508 68.3206
50 79.7994 -91.174 68.3215
50 79.8994 -91.2973 68.3409
50 79.9994 -91.4205 68.3784
50 80.0993 -91.5438 68.4334
50 80.1993 -91.667 68.5053
